Id Site INWI,#Id Equipement INWI,Coordonnées GPS,Ville,ZI,Contact Accès Site
SI-0001,EQI-000001,"33.853043, -4.717658",Casablanca,ZI Ain Sebaa,Asmae Lahlou - +212 696451097
SI-0002,EQI-000003,"31.05877, -5.627545",Casablanca,Atlantic Free Zone,Rachid Bennis - +212 687350529
SI-0003,EQI-000005,"28.839877, -9.470175",Casablanca,Technopark,Rachid Tazi - +212 643844541
SI-0004,EQI-000007,"29.708029, -7.036099",Casablanca,ZI Ain Sebaa,Asmae Lahlou - +212 649537149
SI-0005,EQI-000009,"29.219126, -9.901065",Casablanca,ZI Sidi Bernoussi,Asmae Bennis - +212 632424313
SI-0006,EQI-000010,"31.094309, -8.06642",Rabat,ZI Ain Sebaa,Asmae Bennis - +212 671123911
SI-0007,EQI-000011,"35.769263, -9.798175",Rabat,Casa Nearshore,Asmae Fassi - +212 697860180
SI-0008,EQI-000016,"34.721868, -9.928799",Rabat,Tanger Free Zone,Mouna Tazi - +212 656843386
SI-0009,EQI-000018,"33.897004, -12.828318",Rabat,ZI Sidi Bernoussi,Rachid Fassi - +212 639987566
SI-0010,EQI-000022,"28.481432, -4.61578",Rabat,Agropole,Khalid Lahlou - +212 677062518
SI-0011,EQI-000023,"31.947506, -4.660615",Marrakech,Casa Nearshore,Mouna Bennis - +212 663869587
SI-0012,EQI-000024,"32.749583, -1.79809",Marrakech,ZI Sidi Bernoussi,Asmae Lahlou - +212 637360625
SI-0013,EQI-000026,"32.191946, -5.327578",Marrakech,Agropole,Asmae Bennis - +212 609299780
SI-0014,EQI-000028,"27.122365, -1.902795",Marrakech,Technopark,Mouna Fassi - +212 648531749
SI-0015,EQI-000030,"32.850368, -12.427585",Tanger,Agropole,Asmae Fassi - +212 608771879
SI-0016,EQI-000034,"28.651521, -3.287302",Tanger,Agropole,Asmae Lahlou - +212 645116335
SI-0017,EQI-000035,"32.729548, -12.895618",Tanger,ZI Sidi Bernoussi,Khalid Lahlou - +212 644887324
SI-0018,EQI-000036,"28.610058, -9.839171",Fès,Atlantic Free Zone,Asmae Lahlou - +212 621840132
SI-0019,EQI-000039,"31.576955, -8.792289",Fès,ZI Ain Sebaa,Asmae Bennis - +212 619519697
SI-0020,EQI-000041,"35.13095, -7.780278",Fès,ZI Sidi Bernoussi,Khalid Tazi - +212 631338626
SI-0021,EQI-000043,"34.175749, -5.022188",Fès,Technopark,Khalid Tazi - +212 654226965
SI-0022,EQI-000044,"33.748289, -10.678546",Agadir,ZI Ain Sebaa,Asmae Fassi - +212 616037786
SI-0023,EQI-000046,"27.199635, -1.64329",Agadir,Technopark,Khalid Lahlou - +212 656240347
SI-0024,EQI-000049,"32.329428, -2.545574",Agadir,ZI Ain Sebaa,Asmae Fassi - +212 637157858
SI-0025,EQI-000051,"30.66323, -11.18732",Agadir,Centre-ville,Mouna Fassi - +212 696908415
SI-0026,EQI-000052,"30.434942, -5.650466",Agadir,ZI Ain Sebaa,Khalid Lahlou - +212 646854428
SI-0027,EQI-000055,"29.911513, -2.420652",Kénitra,Agropole,Khalid Tazi - +212 659084856
SI-0028,EQI-000056,"29.069468, -5.276724",Kénitra,ZI Sidi Bernoussi,Rachid Bennis - +212 613807317
SI-0029,EQI-000057,"31.025294, -1.547876",Kénitra,ZI Ain Sebaa,Mouna Bennis - +212 666057281
SI-0030,EQI-000060,"35.689972, -8.024769",Kénitra,Casa Nearshore,Mouna Tazi - +212 691618863
SI-0031,EQI-000062,"29.750603, -12.14201",Kénitra,Centre-ville,Mouna Lahlou - +212 646725847
SI-0032,EQI-000066,"34.643346, -8.667737",Meknès,ZI Sidi Bernoussi,Mouna Lahlou - +212 679634933
SI-0033,EQI-000069,"33.864942, -7.656539",Meknès,ZI Ain Sebaa,Asmae Fassi - +212 608172604
SI-0034,EQI-000070,"31.543281, -11.420518",Meknès,Tanger Free Zone,Mouna Fassi - +212 637089811
SI-0035,EQI-000072,"35.008491, -7.687937",Meknès,Casa Nearshore,Mouna Fassi - +212 688849410
